ID,Alphabet,Font,Emphasis,Noise Level
0082,Latin,Courier New,Regular,None
0083,Latin,Impact,Bold italic,None
0084,Latin,Impact,Bold,None
0085,Latin,Impact,Italic,None
0086,Latin,Impact,Regular,None
0087,Latin,Computer Modern,Bold italic,None
0088,Latin,Computer Modern,Bold,None
0089,Latin,Computer Modern,Italic,None
0090,Latin,Computer Modern,Regular,None
0091,Latin,Times New Roman,Bold italic,None
0092,Latin,Times New Roman,Bold,None
0093,Latin,Times New Roman,Italic,None
0094,Latin,Times New Roman,Regular,None
0095,Latin,Arial,Bold italic,Low
0096,Latin,Arial,Bold,Low
0097,Latin,Arial,Italic,Low
0098,Latin,Arial,Regular,Low
0099,Latin,Bookman,Bold italic,Low
0100,Latin,Bookman,Bold,Low
0101,Latin,Bookman,Italic,Low
0102,Latin,Bookman,Regular,Low
0103,Latin,Century,Bold italic,Low
0104,Latin,Century,Bold,Low
0105,Latin,Century,Italic,Low
0106,Latin,Century,Regular,Low
0107,Latin,Comic Sans MS,Bold italic,Low
0108,Latin,Comic Sans MS,Bold,Low
0109,Latin,Comic Sans MS,Italic,Low
0110,Latin,Comic Sans MS,Regular,Low
0111,Latin,Courier New,Bold italic,Low
0112,Latin,Courier New,Bold,Low
0113,Latin,Courier New,Italic,Low
0114,Latin,Courier New,Regular,Low
0115,Latin,Impact,Bold italic,Low
0116,Latin,Impact,Bold,Low
0117,Latin,Impact,Italic,Low
0118,Latin,Impact,Regular,Low
0119,Latin,Computer Modern,Bold italic,Low
0120,Latin,Computer Modern,Bold,Low
0121,Latin,Computer Modern,Italic,Low
0122,Latin,Computer Modern,Regular,Low
0123,Latin,Times New Roman,Bold italic,Low
0124,Latin,Times New Roman,Bold,Low
0125,Latin,Times New Roman,Italic,Low
0126,Latin,Times New Roman,Regular,Low
0127,Latin,Arial,Bold italic,High
0128,Latin,Arial,Bold,High
0129,Latin,Arial,Italic,High
0130,Latin,Arial,Regular,High
0131,Latin,Bookman,Bold italic,High
0132,Latin,Bookman,Bold,High
0133,Latin,Bookman,Italic,High
0134,Latin,Bookman,Regular,High
0135,Latin,Century,Bold italic,High
0136,Latin,Century,Bold,High
0137,Latin,Century,Italic,High
0138,Latin,Century,Regular,High
0139,Latin,Comic Sans MS,Bold italic,High
0140,Latin,Comic Sans MS,Bold,High
0141,Latin,Comic Sans MS,Italic,High
0142,Latin,Comic Sans MS,Regular,High
0143,Latin,Courier New,Bold italic,High
0144,Latin,Courier New,Bold,High
0145,Latin,Courier New,Italic,High
0146,Latin,Courier New,Regular,High
0147,Latin,Impact,Bold italic,High
0148,Latin,Impact,Bold,High
0149,Latin,Impact,Italic,High
0150,Latin,Impact,Regular,High
0151,Latin,Computer Modern,Bold italic,High
0152,Latin,Computer Modern,Bold,High
0153,Latin,Computer Modern,Italic,High
0154,Latin,Computer Modern,Regular,High
0155,Latin,Times New Roman,Bold italic,High
0156,Latin,Times New Roman,Bold,High
0157,Latin,Times New Roman,Italic,High
0158,Latin,Times New Roman,Regular,High
